# [H cm^-3] [K] [ergs cm^-3] [s] [dimensionless]
rho temperature pressure cooling_time HI_fraction
7.6442227425e-04 9.9983401208e+03 1.6857270819e-15 6.0714541095e+15 1.0524258892e-02 1
7.9432823472e-04 9.9998929744e+03 1.7511721030e-15 5.4270572382e+15 1.1095944102e-02 1
8.2540418527e-04 1.0001713607e+04 1.8191774347e-15 4.8771783720e+15 1.1704983049e-02 1
8.5769589859e-04 9.9997086402e+03 1.8890682149e-15 4.4634774478e+15 1.2358360493e-02 1
8.9125093813e-04 1.0001622290e+04 1.9623701428e-15 4.0848519350e+15 1.3051852233e-02 1
9.2611872813e-04 9.9995696519e+03 2.0376645302e-15 3.7668171801e+15 1.3797133261e-02 1
9.6235062640e-04 1.0001319133e+04 2.1166048447e-15 3.4660839134e+15 1.4589851950e-02 1
1.0000000000e-03 9.9998364090e+03 2.1978190692e-15 3.2082222000e+15 1.5441914416e-02 1
1.0391223038e-03 1.0001744109e+04 2.2828805284e-15 2.9641381670e+15 1.6350764700e-02 1
1.0797751623e-03 1.0000020331e+04 2.3702636072e-15 2.7542445289e+15 1.7329523069e-02 1
1.1220184543e-03 1.0000172494e+04 2.4613791734e-15 2.5581700111e+15 1.8377463551e-02 1
1.1659144012e-03 1.0000694482e+04 2.5559824327e-15 2.3787220347e+15 1.9502265203e-02 1
1.2115276586e-03 1.0001492760e+04 2.6541913167e-15 2.2142413902e+15 2.0711249807e-02 1
1.2589254118e-03 1.0001078455e+04 2.7548440954e-15 2.0687591923e+15 2.1994550443e-02 1
1.3081774743e-03 1.0000226632e+04 2.8598877405e-15 1.9331465540e+15 2.3396628342e-02 1
1.3593563909e-03 9.9998416053e+03 2.9689062302e-15 1.8033447567e+15 2.4907339552e-02 1
1.4125375446e-03 1.0000186416e+04 3.0820924677e-15 1.6821215762e+15 2.6535505991e-02 1
1.4677992676e-03 1.0001116072e+04 3.1995555693e-15 1.5698688778e+15 2.8292558952e-02 1
1.5252229565e-03 1.0000660562e+04 3.3219742829e-15 1.4661078027e+15 3.0226704578e-02 1
1.5848931925e-03 1.0001174845e+04 3.4466023375e-15 1.3730435278e+15 3.2251036221e-02 1
1.6468978655e-03 1.0000539848e+04 3.5764776645e-15 1.2862022812e+15 3.4481448079e-02 1
1.7113283042e-03 1.0000717990e+04 3.7111333532e-15 1.2049473194e+15 3.6895877853e-02 1
1.7782794100e-03 1.0000964853e+04 3.8504597170e-15 1.1294506088e+15 3.9515514915e-02 1
1.8478497974e-03 9.9988470392e+03 3.9935600741e-15 1.0610805548e+15 4.2368485918e-02 1
1.9201419386e-03 1.0000907304e+04 4.1431334327e-15 9.9436265483e+14 4.5452739889e-02 1
1.9952623150e-03 1.0001267995e+04 4.2969092943e-15 9.3340659091e+14 4.8813473053e-02 1
2.0733215735e-03 9.9984001754e+03 4.4541718833e-15 8.7847886796e+14 5.2485098650e-02 1
2.1544346900e-03 1.0000814115e+04 4.6187751087e-15 8.2135681458e+14 5.6458253534e-02 1
2.2387211386e-03 1.0001782927e+04 4.7878047797e-15 7.6849554555e+14 6.0795615194e-02 1
2.3263050672e-03 9.9985051387e+03 4.9593780981e-15 7.2153663417e+14 6.5533793499e-02 1
2.4173154808e-03 9.9987869901e+03 5.1381778135e-15 6.7596566081e+14 7.0700982795e-02 1
2.5118864315e-03 9.9998851137e+03 5.3211530341e-15 6.3368282170e+14 7.6281854921e-02 1
2.6101572157e-03 1.0000072218e+04 5.5102221103e-15 5.9401329789e+14 8.2452581609e-02 1
2.7122725793e-03 1.0001075231e+04 5.7038458208e-15 5.5698027920e+14 8.9150052542e-02 1
2.8183829313e-03 1.0001294398e+04 5.9024972425e-15 5.2244940562e+14 9.6507139311e-02 1
2.9286445646e-03 1.0001164631e+04 6.1042846212e-15 4.9059121278e+14 1.0448678248e-01 1
3.0432198871e-03 1.0000681588e+04 6.3098947559e-15 4.6093234824e+14 1.1319141981e-01 1
3.1622776602e-03 9.9989711305e+03 6.5182274754e-15 4.3355791712e+14 1.2268209142e-01 1
3.2859932476e-03 9.9995139995e+03 6.7328537716e-15 4.0718085042e+14 1.3307712364e-01 1
3.4145488738e-03 1.0001719187e+04 6.9495413195e-15 3.8174383627e+14 1.4424015438e-01 1
3.5481338923e-03 9.9988899065e+03 7.1661628047e-15 0.0000000000e+00 1.5651112163e-01 1
3.6869450645e-03 9.9996124018e+03 7.3889911620e-15 3.3645683924e+14 1.6990166608e-01 1
3.8311868496e-03 1.0001572932e+04 7.6152609894e-15 3.1547144170e+14 1.8447843993e-01 1
3.9810717055e-03 9.9998955347e+03 7.8360663212e-15 2.9701240513e+14 2.0007528431e-01 1
4.1368204024e-03 1.0000600143e+04 8.0609708966e-15 2.7902961181e+14 2.1682769391e-01 1
4.2986623471e-03 9.9999530775e+03 8.2787233220e-15 2.6368776984e+14 2.3493257395e-01 1
4.4668359215e-03 1.0001502093e+04 8.5061391823e-15 2.4782917625e+14 2.5465541759e-01 1
4.6415888336e-03 1.0000654428e+04 8.7190513355e-15 2.3492844160e+14 2.7545952584e-01 1
4.8231784822e-03 1.0000296050e+04 8.9342663852e-15 2.2237831379e+14 2.9785130030e-01 1
5.0118723363e-03 1.0000493861e+04 9.1506095556e-15 2.1007149262e+14 3.2145676361e-01 1
5.2079483286e-03 1.0001004224e+04 9.3559009329e-15 1.9986595867e+14 3.4644865356e-01 1
5.4116952655e-03 1.0001837430e+04 9.5510235937e-15 1.9110894095e+14 3.7262665756e-01 1
5.6234132519e-03 9.9994049107e+03 9.7443277155e-15 0.0000000000e+00 4.0036376636e-01 1
5.8434141337e-03 1.0001545158e+04 9.9375434860e-15 1.7489214352e+14 4.2916870251e-01 1
6.0720219569e-03 1.0000733353e+04 1.0118012141e-14 1.6856153366e+14 4.5847730164e-01 1
6.3095734448e-03 9.9990176668e+03 1.0300658782e-14 1.6242245890e+14 4.8873218251e-01 1
6.5564184942e-03 9.9984722165e+03 1.0471753718e-14 1.5800901357e+14 5.1955387500e-01 1
6.8129206906e-03 1.0001323098e+04 1.0639620901e-14 1.5462851455e+14 5.5060863810e-01 1
7.0794578438e-03 1.0001124089e+04 1.0812346776e-14 1.5139424420e+14 5.8169140321e-01 1
7.3564225446e-03 1.0001380280e+04 1.0980102120e-14 1.4957640627e+14 6.1255714682e-01 1
7.6442227425e-03 9.9986116050e+03 1.1141730690e-14 0.0000000000e+00 6.4331831230e-01 1
7.9432823472e-03 1.0001118133e+04 1.1320462325e-14 1.4901094569e+14 6.7252607766e-01 1
8.2540418527e-03 9.9984811939e+03 1.1500543838e-14 1.5004359074e+14 7.0112385649e-01 1
8.5769589859e-03 9.9994323000e+03 1.1689078997e-14 1.5219718602e+14 7.2852053798e-01 1
8.9125093813e-03 9.9997726936e+03 1.1888268622e-14 1.5547852578e+14 7.5454390120e-01 1
9.2611872813e-03 9.9995699755e+03 1.2100703337e-14 1.5994781761e+14 7.7905178893e-01 1
9.6235062640e-03 9.9984566815e+03 1.2333973372e-14 1.6524206124e+14 8.0195311988e-01 1
1.0000000000e-02 9.9997875934e+03 1.2583456479e-14 1.7204398287e+14 8.2312227001e-01 1
1.0391223038e-02 9.9982525658e+03 1.2848487857e-14 1.8060183305e+14 8.4264840134e-01 1
1.0797751623e-02 9.9994596851e+03 1.3139555717e-14 1.9035931177e+14 8.6046126034e-01 1
1.1220184543e-02 9.9985308441e+03 1.3451118901e-14 2.0198777662e+14 8.7666551137e-01 1
1.1659144012e-02 1.0000867321e+04 1.3792344305e-14 2.1498112611e+14 8.9126521305e-01 1
1.2115276586e-02 1.0000197248e+04 1.4161574510e-14 2.2959473405e+14 9.0463645140e-01 1
1.2589254118e-02 9.9999533551e+03 1.4550323807e-14 2.4701350277e+14 9.1632250071e-01 1
1.3081774743e-02 9.9984376488e+03 1.4964803282e-14 2.6697064939e+14 9.2673849528e-01 1
1.3593563909e-02 9.9991335740e+03 1.5410348102e-14 2.8916301283e+14 9.3595047361e-01 1
1.4125375446e-02 9.9625379310e+03 1.5820489575e-14 1.6348213741e+18 9.4444457949e-01 1
1.4677992676e-02 9.9554855838e+03 1.6312313562e-14 3.1280439921e+17 9.5168391828e-01 1
1.5252229565e-02 9.9433884119e+03 1.6824489051e-14 8.7231805999e+17 9.5807532260e-01 1
1.5848931925e-02 9.9340999660e+03 1.7370703636e-14 2.6166491197e+17 9.6363497182e-01 1
1.6468978655e-02 9.9204146669e+03 1.7938566834e-14 2.2802773277e+17 9.6851841532e-01 1
1.7113283042e-02 9.9045203755e+03 1.8531741172e-14 1.6938398287e+17 9.7276413140e-01 1
1.7782794100e-02 9.8716970434e+03 1.9119023776e-14 0.0000000000e+00 9.7629326683e-01 1
1.8478497974e-02 9.8415277696e+03 1.9741857959e-14 0.0000000000e+00 9.7953945176e-01 1
1.9201419386e-02 9.8040444375e+03 2.0377999056e-14 2.8324385370e+18 9.8237720470e-01 1
1.9952623150e-02 9.7518847851e+03 2.1010072530e-14 8.7218899701e+18 9.8487016677e-01 1
2.0733215735e-02 9.6858247521e+03 2.1636993557e-14 1.2563131054e+18 9.8706593378e-01 1
2.1544346900e-02 9.6030198045e+03 2.2249053881e-14 3.1689711724e+17 9.8886978588e-01 1
2.2387211386e-02 9.4695255229e+03 2.2757552385e-14 2.6792236927e+18 9.9059184892e-01 1
2.3263050672e-02 9.2868717344e+03 2.3156657420e-14 1.7337069066e+18 9.9213493786e-01 1
2.4173154808e-02 8.9860553303e+03 2.3250202916e-14 7.4209087443e+18 9.9347440633e-01 1
2.5118864315e-02 8.3919410968e+03 2.2531938708e-14 5.6105867391e+18 9.9482143976e-01 1
